id,source,text,sentiment,sarcasm
sr-00063,https://www.youtube.com/watch?v=-_xotyeinSc,Pitaj je da li je bila u šemi sa Bredom Pitom?,neutral,yes
sr-00064,https://www.youtube.com/watch?v=-_xotyeinSc,"Brate, Bože.... nemoj, Šomi!",neutral,no
sr-00065,https://www.youtube.com/watch?v=-_xotyeinSc,"Film kida, jedna generacija koja je sve razumela. Samo ne verujem da smo ovog majmuna od Gangule pustili na Vlast uz Zvalavog.",neutral,yes
sr-00066,https://www.youtube.com/watch?v=-_xotyeinSc,Nema hleba bez motike,neutral,yes
sr-00067,https://www.youtube.com/watch?v=-_xotyeinSc,"Teško je reći šta je tačno najgore u filmu 15% – da li je to “radnja” o golmanu zvanom Kengur, koji ima harizmu mokrog sunđera, ili činjenica da je neko zaista odlučio da ovakvo filmsko ruglo ugleda svetlost dana. Jedno je sigurno: ovo nije film, ovo je kazna.",negative,no
sr-00068,https://www.youtube.com/watch?v=-_xotyeinSc,Cile ponudio prvi cashout u istoriji.,neutral,no
sr-00069,https://www.youtube.com/watch?v=-_xotyeinSc,Treba i za Romu,neutral,no
sr-00070,https://www.youtube.com/watch?v=-_xotyeinSc,Najbolji Nebojsa Glogovac laka mu zemlja,positive,no
sr-00071,https://www.youtube.com/watch?v=-_xotyeinSc,Film koji u svako doba mogu da gledam.,positive,no
sr-00072,https://www.youtube.com/watch?v=-_xotyeinSc,Pa ti onda gledaj film u novinama!,negative,yes
sr-00073,https://www.youtube.com/watch?v=-_xotyeinSc,Gluplji film u životu nisam gledao..,negative,no
sr-00074,https://www.youtube.com/watch?v=-_xotyeinSc,"Legende su svi, samo što se nisam uposkio od smjeha",positive,no
sr-00075,https://www.youtube.com/watch?v=-_xotyeinSc,"Ovo je, po meni, najbolji film svih vremena. Bukvalno ne postoji 10 sekundi koje su dosadne. Remek delo.",positive,no
sr-00076,https://www.youtube.com/watch?v=-_xotyeinSc,Najjaci film svih vremena,positive,no
sr-00077,https://www.youtube.com/watch?v=-_xotyeinSc,15:32 ja sam se cepao kad sam gledao ovu scenu prvi put. Legendarno!,positive,no
sr-00078,https://www.youtube.com/watch?v=-_xotyeinSc,Danas sam prvi put pogledao ovaj film u 21. godini. Šta sam čekao do sada?,positive,yes
sr-00079,https://www.youtube.com/watch?v=-_xotyeinSc,Ljudi jel se meni čini ili je Gangula današnji Gradonačelnik Beograda. Šapić Aleksandar,neutral,no
sr-00080,https://www.youtube.com/watch?v=-_xotyeinSc,Kakav danak neiskustvu,neutral,yes
sr-00081,https://www.youtube.com/watch?v=-_xotyeinSc,"Proslo je 22 godine od izlaska ovog remek dela. Hvala vam svima na emociji, i na suzama(od smeha). 20.06.2026 , I opet gledam ! )",positive,no
sr-00082,https://www.youtube.com/watch?v=-_xotyeinSc,"zivele semenke, semenke svih zemalja, ujedinite se!",positive,yes
sr-00083,https://www.youtube.com/watch?v=-_xotyeinSc,"Moj zivot da je osoba, bio bi Braca:",neutral,yes
sr-00086,https://www.youtube.com/watch?v=-_xotyeinSc,"Nebojša neprikosnovena glumčina, nitko mu neće nikada prići blizu.",positive,no
sr-00087,https://www.youtube.com/watch?v=-_xotyeinSc,doktor sa generacionalnim ragebaitom za živca,neutral,no
sr-00088,https://www.youtube.com/watch?v=-_xotyeinSc,"Koliko je ovaj film uticao na mlade u to doba, bukvalno su svi znali fore iz filma i rado ih koristili u svakodnevnom životu. Kultno remek delo....",positive,no
sr-00090,https://www.youtube.com/watch?v=-_xotyeinSc,Smuva li on Ines na kraju?,neutral,no
sr-00091,https://www.youtube.com/watch?v=-_xotyeinSc,"U ovom filmu, ko i ima lovu, psuje.",neutral,yes
sr-00092,https://www.youtube.com/watch?v=-_xotyeinSc,"Pre osam dana stavljen, 80 soma pregleda. Pa da. Molim.",positive,no
sr-00093,https://www.youtube.com/watch?v=-_xotyeinSc,Nikad ne dosadi!,positive,no
sr-00094,https://www.youtube.com/watch?v=-_xotyeinSc,-Ne pravi Bog razliku imeđu sveća -Vidiš da pravi,neutral,yes
sr-00095,https://www.youtube.com/watch?v=-_xotyeinSc,Jedan od boljih,positive,no
sr-00096,https://www.youtube.com/watch?v=-_xotyeinSc,"Nema dalje, nema najjači film",positive,no
sr-00098,https://www.youtube.com/watch?v=-_xotyeinSc,Poslednja prava komedija snimljena kod nas. Odličan film.,positive,no
sr-00099,https://www.youtube.com/watch?v=-_xotyeinSc,Kad Hrvati naprave ovakav film ja ću potpisati za Istvič.,neutral,no
sr-00101,https://www.youtube.com/watch?v=-_xotyeinSc,1:26:00 jel neko izvaljuje sve reference iz filma munje ;),neutral,no
sr-00102,https://www.youtube.com/watch?v=-_xotyeinSc,Koja je ovo crkva na početku filma?,neutral,no
sr-00103,https://www.youtube.com/watch?v=00onqy5JYzE,Na pocetku filma ja bih pre reko da je onaj mali sin od strica,neutral,yes
sr-00104,https://www.youtube.com/watch?v=00onqy5JYzE,"Kako su glumci ružni , krezavi , pomalo debilni , to je tako kad nemaš lepe glumce ,",negative,no
sr-00105,https://www.youtube.com/watch?v=00onqy5JYzE,Imam samo 12 godina ali preporučujem ovaj film,positive,no
sr-00106,https://www.youtube.com/watch?v=00onqy5JYzE,Definitivno film sa EX Yu govornog podrucija ubedljivo nabolji film respektabilan i za Holivud,positive,no
sr-00107,https://www.youtube.com/watch?v=00onqy5JYzE,"al bukvalno cijeli film mi je bio osmjeh na licu,po ko zna koji put ga gledam",positive,no
sr-00108,https://www.youtube.com/watch?v=00onqy5JYzE,"Da li mogu da vam pomognem da na film prikačimo i prevod? Predajem srpski, i nikako da nađem pravi način da i nematernji govornici/učenici srpskog mogu da gledaju. @inwires",neutral,no
sr-00109,https://www.youtube.com/watch?v=00onqy5JYzE,Predobar film za preporucit drugima da gledaju,positive,no
sr-00110,https://www.youtube.com/watch?v=00onqy5JYzE,"2026 -a i trajaće kroz generacije,jedan od naših najboljih filmova",positive,no
sr-00111,https://www.youtube.com/watch?v=00onqy5JYzE,Svaku repliku znam napamet. Posljednji film o sretnom i bezbrižnim vremenu..,positive,no
sr-00112,https://www.youtube.com/watch?v=00onqy5JYzE,Film koji dočarava mladalačku bezbrižnost i nesvesnost surovosti života odraslih na čijem pragu se nalaze.,positive,no
sr-00114,https://www.youtube.com/watch?v=00onqy5JYzE,"Glumci glumice za 10 neki su pokojni,al nikad se vise ovakvi glumci nece radjat...",positive,no
sr-00115,https://www.youtube.com/watch?v=00onqy5JYzE,"Imam ja svoju displinu, ja trcim u širinu! :)",positive,yes
sr-00116,https://www.youtube.com/watch?v=00onqy5JYzE,Jutarnja molitva,neutral,no
sr-00118,https://www.youtube.com/watch?v=00onqy5JYzE,"Gledao 30 put,najbolji film",positive,no
sr-00119,https://www.youtube.com/watch?v=00onqy5JYzE,"Ode i Šotra ,pokoj mu duši više se neće roditi koji će napraviti ovakve filmove",positive,no
sr-00120,https://www.youtube.com/watch?v=00onqy5JYzE,Kraj bi mogo biti i drukciji dobar je film ali bez dobrog kraja je,neutral,no
sr-00121,https://www.youtube.com/watch?v=00onqy5JYzE,Kad padnem u malu depresiju gledam Drzavni posao a u vecu onda gledam ovaj film.,positive,no
sr-00122,https://www.youtube.com/watch?v=00onqy5JYzE,Jedini film u kojem neces cuti JEDNU ruznu rec! Ni jednu......!,positive,no
sr-00123,https://www.youtube.com/watch?v=00onqy5JYzE,Šotra! Genijalac!,positive,no
sr-00124,https://www.youtube.com/watch?v=00onqy5JYzE,Ja gledam ovo i plačem ovo je najbolji film na svetu,positive,no
sr-00125,https://www.youtube.com/watch?v=00onqy5JYzE,Gospodine Šotra počivajte u miru,neutral,no
sr-00126,https://www.youtube.com/watch?v=00onqy5JYzE,Dobar filim za mene malo i tuzan posjete me na vremena dok sam ja išo u školu,positive,no
sr-00127,https://www.youtube.com/watch?v=00onqy5JYzE,Gledam jer nije bilo lektira u skoli,positive,no
sr-00128,https://www.youtube.com/watch?v=00onqy5JYzE,Ja sam se rodio da gledam ovaj najlepši film,positive,no
sr-00129,https://www.youtube.com/watch?v=00onqy5JYzE,Moja mama I ja smo voljele ovaj film I zajedno ga Gledale mnogo puta iako ga dobro znamo. Ona je preminula prije godinu dana ali meni ostaje lijepa uspomena..,positive,no
sr-00130,https://www.youtube.com/watch?v=00onqy5JYzE,Predivan film o jednom bezbriznom dobu...uvijek ga mogu ponovo gledati.,positive,no
sr-00131,https://www.youtube.com/watch?v=00onqy5JYzE,Svaku rečenicu znam napamet. Najlepši naš film. Hvala vam Šotra na ovakvom predivnom filmu. Počivajte u miru.,positive,no
sr-00132,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Najbolja serija do sada, izuzetan tekst, kostimi, svaki i najmanji detalj filigransko snimljen, muzika cudovita , pun emocija bez grubosti, psovki i krvi. Istaknute sve pozitivne vrijednosti odgoja i drustvenog odnosa, koji su se izgubili u danasnjici bescutnosti i prostakluka. Zasto, zasto ne snimite jos serija po djelima Mir- Jam, vec gubite vrijeme na cudne filmove, a imate odlicne mlade glumce.",positive,no
sr-00133,https://www.youtube.com/watch?v=3mmdrrL5eVA,Ova serija me vraca u detinjstvo,positive,no
sr-00134,https://www.youtube.com/watch?v=3mmdrrL5eVA,najbolji film ikad snimljen reziseri glumci neprevazidjeni.100 puta sam gledao a do sad nisam ni jedan film gledao 2 puta,positive,no
sr-00135,https://www.youtube.com/watch?v=3mmdrrL5eVA,Serija je vrh umirujuca je,positive,no
sr-00136,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Hej, Tek sad vidim, Brankica je odevena kao Meri Poppins, u cuvenoj staroj mjuzikl verziji te price! Cak I podseca na tu glumicu",neutral,no
sr-00138,https://www.youtube.com/watch?v=3mmdrrL5eVA,Najbolja serija svih vremena,positive,no
sr-00139,https://www.youtube.com/watch?v=3mmdrrL5eVA,"17ti put je gledam i nikad mi nece dosaditi,koliko ih obozavam,serija je najbolja",positive,no
sr-00140,https://www.youtube.com/watch?v=3mmdrrL5eVA,Kako su neprijatni na početku njihovi razgovori gahahhahaha,neutral,no
sr-00142,https://www.youtube.com/watch?v=3mmdrrL5eVA,Gledam neću li đe viđeti Karleušu ili Jovanu Jeremić ili bilo koju što gostuju kod Ami G tzv srbijanske celebrity,negative,yes
sr-00143,https://www.youtube.com/watch?v=3mmdrrL5eVA,nnajbolja serija na planeti ko se slaze samnom,positive,no
sr-00145,https://www.youtube.com/watch?v=3mmdrrL5eVA,Melodija u pozadini 47:50 molim vaaas,neutral,no
sr-00147,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Tako je to nazalost,Kada ljubav nije obostrana.Nikome takva ljubav nije potrebana,bolje je ostati Sam nego u losem braku....",negative,no
sr-00148,https://www.youtube.com/watch?v=3mmdrrL5eVA,Kako divna serija,positive,no
sr-00150,https://www.youtube.com/watch?v=3mmdrrL5eVA,2025 nikad mi ne dosadi,positive,no
sr-00151,https://www.youtube.com/watch?v=3mmdrrL5eVA,Moram reći da ta žena liči na Anne Hathaway. Stvarno.,neutral,no
sr-00152,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Ljiljana je u knjizi bila plava,nisam je zamišljala ovako.",negative,no
sr-00153,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Divno,nestvarno,kao bajka...svi super, majka divna glumica",positive,no
sr-00154,https://www.youtube.com/watch?v=3mmdrrL5eVA,A sta glumite sa mokrom kosom je li jeste oprali kosu,neutral,yes
sr-00155,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Ja sam vata iz Acinog srca. Predivna je serija. VOLIM da je gledam. Kad sve odgledam, gledam iznova i iznova.",positive,no
sr-00157,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Dobra serija relaksirajuca, dobri glumci i dobra gluma- za svaku pohvalu!!!!",positive,no
sr-00158,https://www.youtube.com/watch?v=3mmdrrL5eVA,definitvo nam treba jos neka serija sa brankicom i bikovicem,positive,no
sr-00159,https://www.youtube.com/watch?v=3mmdrrL5eVA,Koliko ima samaca u braku,neutral,yes
sr-00160,https://www.youtube.com/watch?v=3mmdrrL5eVA,Kako od ovakvog doba i ovakve gospode dodjosmo dovde gde smo i kakvi smo sada?! Tuga!,negative,no
sr-00161,https://www.youtube.com/watch?v=3mmdrrL5eVA,Sve je u ovom filmu meni savrseno uradjeno.,positive,no
sr-00162,https://www.youtube.com/watch?v=3mmdrrL5eVA,"u ovoj prvoj epizodi ova cura mi se gadi , videcemo dalje",negative,no
sr-00163,https://www.youtube.com/watch?v=3mmdrrL5eVA,Evo usla sam da se iskljucim od ovog svakodnevog zivota i na miru da zaspim…Svake pola godine iznova gledam… Fanatasticna nesvakidasnja serija i prica… Glumci Obozavam Juliju,positive,no
sr-00164,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Brankica Sebastijanovic - najsuptilnija lepota, cednost, stvorena za velike role svetske literature, one neobicne, nezne, prelepe, pametne devojke , zene....Da takvu ima Holivud, imala bi samo glavne uloge, a kod nas, osim ove glavne role ne znam nesto znacajnije da su joj dali...Vidim je kao Tanju Larinu, Nastasju Filipovnu, madam Bovari, Anu Karenjinu...na zalost, cudne su podele u srpskom glumistu. Volimo sve nase glumce, ali ovo je istina. Steta.",positive,no
sr-00165,https://www.youtube.com/watch?v=3mmdrrL5eVA,Brankica bolje da bude kafe kuvarica i neka se mane glume...očajna je,negative,no
sr-00166,https://www.youtube.com/watch?v=3mmdrrL5eVA,Ta vremena kad muškarac nije htio oženiti ženu ako nema dobar miraz a danas je obrnuta situacija. Sve se vraća sve se plaća,negative,yes
sr-00168,https://www.youtube.com/watch?v=3mmdrrL5eVA,Serija je bas lipa prije je sve bilo ljepše uvjek je gledam ponovo,positive,no
sr-00169,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Sjajni glumci,sjajna serija,bravo....",positive,yes
sr-00172,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Ko kaze da je jednom pregledao seriju, taj istinu ne govori Osjecaj koji imam svaki put kad je gledam je neopisiv, voljela bih da sam rodjena u ovakvom vremenu",positive,no
sr-00173,https://www.youtube.com/watch?v=3mmdrrL5eVA,ovo mi je omiljena serija,positive,no
sr-00174,https://www.youtube.com/watch?v=3mmdrrL5eVA,Divna serija. Glumci genijalni.,positive,no
sr-00175,https://www.youtube.com/watch?v=3mmdrrL5eVA,Grožđe u proleće,neutral,yes
sr-00176,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Čestitke iz Hrvatske akademskom gnijezdu Košutnjak filma!!! Ni Hollywood nema, ni Zagreb, takve nepatvorene karakterne glumce!!! Obožavam ovu glumicu. Prelijepa je i nevjerojatno sliči mojoj kćerkici Mimi.",positive,no
sr-00178,https://www.youtube.com/watch?v=3mmdrrL5eVA,Ja se pitam zasto se u to vreme trazio miraz a sad se zeni ko kako hoce,neutral,no
sr-00179,https://www.youtube.com/watch?v=3mmdrrL5eVA,Mlada ko da je preparirana u seriji.,negative,yes
sr-00186,https://www.youtube.com/watch?v=3mmdrrL5eVA,Predivna serija!,positive,no
sr-00187,https://www.youtube.com/watch?v=3mmdrrL5eVA,Šteta pogrešno postavila brak nisu je roditelji naterali već Momcilo a serija je božanstvena,positive,no
sr-00188,https://www.youtube.com/watch?v=3mmdrrL5eVA,Uvek se vracam ovoj seriji.Toliko da mi nikad ne dosadi,positive,no
sr-00190,https://www.youtube.com/watch?v=3mmdrrL5eVA,Ima mnogo samaca u braku,neutral,yes
sr-00191,https://www.youtube.com/watch?v=3mmdrrL5eVA,Serija za Oskara. Predivna. Milos je pravi srpski glumac. Zelela bih da je nastave jos u par epizoda. Molba za Milosa i Brankicu.,positive,no
sr-00192,https://www.youtube.com/watch?v=3mmdrrL5eVA,Neznam gde pobeci. Od vas na broju,negative,yes
sr-00193,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Prelepa serija. Cesto je gledam pre spavanja, daje tu neku nostalgiju koju cak ni ja sama nikad nisam dozivela. Stvarno prelepo",positive,no
sr-00197,https://www.youtube.com/watch?v=3mmdrrL5eVA,bikovic je lep covek u svakom smislu,positive,no
sr-00198,https://www.youtube.com/watch?v=3mmdrrL5eVA,Čudo da i ovdje Sloboda Mićalović nije uzela glavnu ulogu.,negative,yes
sr-00202,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Ah ta ljubav, čednost i strast. Ništa ljepše nepostoji. Naravno ko ima tu sreću u životu da mu se da prava ljubav. Kome se neda, šja,postoje ovako prelijepe knjige za utjehu. U svakom slučaju prijatna i draga serija. Uživao sam gledajući. A tek ta prelijepa čedna i nježna glumica Brankica Sebastijanović je pravi Anđeo..",positive,no
sr-00203,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Teta bravo, divna glumica a ljiljana i Radmilo, sad im je vreme za ovu svadbu... Divna serija",positive,no
sr-00204,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Odlicna Dusanka Stojanovic Glid,kao kucna pomocnica Julija....",positive,no
sr-00205,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Svaka čast na glumi, scenografiji, i naravno, Mir Jam na kreativnom umu koji je stvorio ovakvo umetničko filmsko delo! Malo lepša vremena nisu na odmet za doživeti, makar kroz male ekrane",positive,no
sr-00206,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Mislim da je gledam već šesti ili sedmi put i svaki put uživam u ljubavi Ljilje i Radmila i svakodnevno uživam u svim iskušenjima koje život stavlja na put ovom mladom paru... Uživam da gledam lijepe manire , kako mladići poštuju djevojke i kako im se udvaraju...jedno divno prošlo vrijeme",positive,no
sr-00209,https://www.youtube.com/watch?v=3mmdrrL5eVA,Najbolja domaca serija posle Ranjenog orla Ali je bas prekratka,positive,no
sr-00210,https://www.youtube.com/watch?v=3mmdrrL5eVA,Najbolje serije su: samac u braku i jedne ljetne noci,neutral,no
sr-00212,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Možete li, molim vas, dodati srpske titlove (automatski generisane). Ovo bi bila velika pomoć ljudima koji uče srpski. Hvala puno unapred",neutral,no
sr-00214,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Seriju gledam po drugi put, a film sam gledala par puta 20.08.2025.",positive,no
sr-00216,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Ova Ljiljana,premrsava kao Oliva",negative,yes
sr-00217,https://www.youtube.com/watch?v=3mmdrrL5eVA,"Uvijek se vraćam i gledam ovu seriju,najboljaa. Vraća u divna vremena kad sam.čitala svaki roman od Mir-Jam. Toliko sam uživala u njihovom.čitanju,ali ovaj je najbolji! Biković je ovo odglumio fenomenalno,niko drugi ovo ne bi iznio kao onČesto gledam seriju,dok obavljam kućne poslove pustim ovo po cio dan vrti. I nikad mi ne dosadi!Vrhunska",positive,no
